S_INFO_WINDCODE,S_INFO_NAME,S_INFO_LISTDATE,S_INFO_DELISTDATE
000805.SZ,*ST炎黄,19980529,20130327
000806.SZ,银河退,19980416,20230706
000807.SZ,云铝股份,19980408,null
000809.SZ,*ST和展,19980616,null
000810.SZ,创维数字,19980602,null
000811.SZ,冰轮环境,19980528,null
000812.SZ,陕西金叶,19980623,null
000813.SZ,德展健康,19980519,null
000815.SZ,美利云,19980609,null
000816.SZ,智慧农业,19970818,null
000817.SZ,辽河油田,19980528,20060104
000818.SZ,航锦科技,19971017,null
000819.SZ,岳阳兴长,19970625,null
000820.SZ,神雾节能,19980630,null
000821.SZ,京山轻机,19980626,null
000822.SZ,山东海化,19980703,null
000823.SZ,超声电子,19971008,null
000825.SZ,太钢不锈,19981021,null
000826.SZ,启迪环境,19980225,null
000827.SZ,*ST长兴,19981016,20050921
000828.SZ,东莞控股,19970617,null
000829.SZ,天音控股,19971202,null
000830.SZ,鲁西化工,19980807,null
000831.SZ,中国稀土,19980911,null
000832.SZ,*ST龙涤,19980825,20060629
000833.SZ,粤桂股份,19981111,null
000835.SZ,长动退,19990625,20220523
000836.SZ,ST富通,19970929,20240812
000837.SZ,秦川机床,19980928,null
000838.SZ,财信发展,19970626,null
000839.SZ,中信国安,19971031,null
000848.SZ,承德露露,19971113,null
000850.SZ,华茂股份,19981007,null
000851.SZ,ST高鸿,19980609,null
000852.SZ,石化机械,19981126,null
000856.SZ,冀东装备,19980813,null
000858.SZ,五粮液,19980427,null
000859.SZ,国风新材,19981119,null
000860.SZ,顺鑫农业,19981104,null
000861.SZ,海印股份,19981028,20240918
000862.SZ,银星能源,19980915,null
000863.SZ,三湘印象,19970925,null
000866.SZ,扬子石化,19980512,20060421
000868.SZ,安凯客车,19970725,null
000869.SZ,张裕A,20001026,null
000875.SZ,吉电股份,20020926,null
000876.SZ,新希望,19980311,null
000877.SZ,天山股份,19990107,null
000878.SZ,云南铜业,19980602,null
000880.SZ,潍柴重机,19980402,null
000881.SZ,中广核技,19980902,null
000882.SZ,华联股份,19980616,null
000883.SZ,湖北能源,19980519,null
000885.SZ,城发环境,19990319,null
000886.SZ,海南高速,19980123,null
000887.SZ,中鼎股份,19981203,null
000888.SZ,峨眉山A,19971021,null
000889.SZ,ST中嘉,19971218,null
000890.SZ,法尔胜,19990119,null
000892.SZ,欢瑞世纪,19990115,null
000893.SZ,亚钾国际,19981224,null
000895.SZ,双汇发展,19981210,null
000897.SZ,津滨发展,19990422,null
000898.SZ,鞍钢股份,19971225,null
000899.SZ,赣能股份,19971126,null
000900.SZ,现代投资,19990128,null
000901.SZ,航天科技,19990401,null
000902.SZ,新洋丰,19990408,null
000903.SZ,云内动力,19990415,null
000905.SZ,厦门港务,19990429,null
000906.SZ,浙商中拓,19990707,null
000908.SZ,*ST景峰,19990203,null
000909.SZ,ST数源,19990507,null
000910.SZ,大亚圣象,19990630,null
000911.SZ,广农糖业,19990527,null
000912.SZ,泸天化,19990603,null
000913.SZ,钱江摩托,19990514,null
000915.SZ,华特达因,19990609,null
000916.SZ,华北高速,19990927,20171225
000917.SZ,电广传媒,19990325,null
000918.SZ,*ST嘉凯,19990720,20230728
000919.SZ,金陵药业,19991118,null
000920.SZ,沃顿科技,19990616,null
000921.SZ,海信家电,19990713,null
000922.SZ,佳电股份,19990618,null
000923.SZ,河钢资源,19990714,null
000925.SZ,众合科技,19990611,null
000926.SZ,福星股份,19990618,null
000927.SZ,中国铁物,19990727,null
000928.SZ,中钢国际,19990312,null
000929.SZ,兰州黄河,19990623,null
000930.SZ,中粮科技,19990712,null
000931.SZ,中关村,19990712,null
000932.SZ,华菱钢铁,19990803,null
000933.SZ,神火股份,19990831,null
000935.SZ,四川双马,19990824,null
000936.SZ,华西股份,19990810,null
000937.SZ,冀中能源,19990909,null
000938.SZ,紫光股份,19991104,null
000939.SZ,凯迪退,19990923,20201217
000948.SZ,南天信息,19991014,null
000949.SZ,新乡化纤,19991021,null
000950.SZ,重药控股,19990916,null
000951.SZ,中国重汽,19991125,null
000952.SZ,广济药业,19991112,null
000953.SZ,河化股份,19991202,null
000955.SZ,欣龙控股,19991209,null
000956.SZ,中原油气,19991110,20060421
000957.SZ,中通客车,20000113,null
000958.SZ,电投产融,19991223,null
000959.SZ,首钢股份,19991216,null
000960.SZ,锡业股份,20000221,null
000961.SZ,ST中南,20000301,20240711
000962.SZ,东方钽业,20000120,null
000963.SZ,华东医药,20000127,null
000965.SZ,天保基建,20000406,null
000966.SZ,长源电力,20000316,null
000967.SZ,盈峰环境,20000330,null
000968.SZ,蓝焰控股,20000622,null
000969.SZ,安泰科技,20000529,null
000970.SZ,中科三环,20000420,null
000971.SZ,*ST高升,20000427,20240724
000972.SZ,中基健康,20000926,null
000973.SZ,佛塑科技,20000525,null
000975.SZ,山金国际,20000608,null
000976.SZ,*ST华铁,20000601,20240827
000977.SZ,浪潮信息,20000608,null
000978.SZ,桂林旅游,20000518,null
000979.SZ,中弘退,20000616,20181228
000980.SZ,众泰汽车,20000616,null
000981.SZ,山子高科,20000622,null
000982.SZ,中银绒业,20000706,20240812
000983.SZ,山西焦煤,20000726,null
000985.SZ,大庆华科,20000726,null
000987.SZ,越秀资本,20000718,null
000988.SZ,华工科技,20000608,null
000989.SZ,ST九芝,20000628,null
000990.SZ,诚志股份,20000706,null
000993.SZ,闽东电力,20000731,null
000995.SZ,皇台酒业,20000807,null
000996.SZ,中期退,20000718,20240628
000997.SZ,新大陆,20000807,null
000998.SZ,隆平高科,20001211,null
000999.SZ,华润三九,20000309,null
001201.SZ,东瑞股份,20210428,null
001202.SZ,炬申股份,20210429,null
001203.SZ,大中矿业,20210510,null
001205.SZ,盛航股份,20210513,null
001206.SZ,依依股份,20210518,null
001207.SZ,联科科技,20210623,null
001208.SZ,华菱线缆,20210624,null
001209.SZ,洪兴股份,20210723,null
001210.SZ,金房能源,20210729,null
001211.SZ,双枪科技,20210805,null
001212.SZ,中旗新材,20210823,null
001213.SZ,中铁特货,20210908,null
001215.SZ,千味央厨,20210906,null
001216.SZ,华瓷股份,20211019,null
001217.SZ,华尔泰,20210929,null
001218.SZ,丽臣实业,20211015,null
001219.SZ,青岛食品,20211021,null
001222.SZ,源飞宠物,20220818,null
001223.SZ,欧克科技,20221212,null
001225.SZ,和泰机电,20230222,null
001226.SZ,拓山重工,20220622,null
001227.SZ,兰州银行,20220117,null
001228.SZ,永泰运,20220429,null
001229.SZ,魅视科技,20220808,null
001230.SZ,劲旅环境,20220715,null
001231.SZ,农心科技,20220819,null
001234.SZ,泰慕士,20220111,null
001236.SZ,弘业期货,20220805,null
001238.SZ,浙江正特,20220919,null
001239.SZ,永达股份,20231212,null
001255.SZ,博菲电气,20220930,null
001256.SZ,炜冈科技,20221205,null
001258.SZ,立新能源,20220727,null
001259.SZ,利仁科技,20220831,null
001260.SZ,坤泰股份,20230216,null
001266.SZ,宏英智能,20220228,null
001267.SZ,汇绿生态,20211117,null
001268.SZ,联合精密,20220630,null
001269.SZ,欧晶科技,20220930,null
001270.SZ,铖昌科技,20220606,null
001277.SZ,速达股份,20240903,null
001278.SZ,一彬科技,20230308,null
001279.SZ,强邦新材,20241011,null
001282.SZ,三联锻造,20230524,null
001283.SZ,豪鹏科技,20220905,null
001286.SZ,陕西能源,20230410,null
001287.SZ,中电港,20230410,null
001288.SZ,运机集团,20211101,null
001289.SZ,龙源电力,20220124,null
001296.SZ,长江材料,20211224,null
001298.SZ,好上好,20221031,null
001299.SZ,美能能源,20221031,null
001300.SZ,三柏硕,20221019,null
001301.SZ,尚太科技,20221228,null
001306.SZ,夏厦精密,20231116,null
001308.SZ,康冠科技,20220318,null
001309.SZ,德明利,20220701,null
001311.SZ,多利科技,20230227,null
001313.SZ,粤海饲料,20220216,null
001314.SZ,亿道信息,20230214,null
001316.SZ,润贝航科,20220624,null
001317.SZ,三羊马,20211130,null
001318.SZ,阳光乳业,20220520,null
001319.SZ,铭科精技,20220512,null
001322.SZ,箭牌家居,20221026,null
001323.SZ,慕思股份,20220623,null
001324.SZ,长青科技,20230522,null
001326.SZ,联域股份,20231109,null
001328.SZ,登康口腔,20230410,null
001330.SZ,博纳影业,20220818,null
001331.SZ,胜通能源,20220908,null
001332.SZ,锡装股份,20220920,null
001333.SZ,光华股份,20221208,null
001336.SZ,楚环科技,20220725,null
001337.SZ,四川黄金,20230303,null
001338.SZ,永顺泰,20221116,null
001339.SZ,智微智能,20220815,null
001358.SZ,兴欣新材,20231221,null
001359.SZ,平安电工,20240328,null
001360.SZ,南矿集团,20230410,null
001366.SZ,播恩集团,20230307,null
001367.SZ,海森药业,20230410,null
001368.SZ,通达创智,20230313,null
001373.SZ,翔腾新材,20230601,null
001376.SZ,百通能源,20231103,null
001378.SZ,德冠新材,20231030,null
001379.SZ,腾达科技,20240119,null
001380.SZ,华纬科技,20230516,null
001387.SZ,雪祺电气,20240111,null
001389.SZ,广合科技,20240402,null
001696.SZ,宗申动力,19970306,null
001872.SZ,招商港口,19930505,null
001896.SZ,豫能控股,19980122,null
001914.SZ,招商积余,19940928,null
001965.SZ,招商公路,20171225,null
001979.SZ,招商蛇口,20151230,null
002001.SZ,新和成,20040625,null
002002.SZ,ST鸿达,20040625,20240318
002003.SZ,伟星股份,20040625,null
002004.SZ,华邦健康,20040625,null
002005.SZ,ST德豪,20040625,null
002006.SZ,精工科技,20040625,null
002007.SZ,华兰生物,20040625,null
002008.SZ,大族激光,20040625,null
002009.SZ,天奇股份,20040629,null
002010.SZ,传化智联,20040629,null
002011.SZ,盾安环境,20040705,null
002012.SZ,凯恩股份,20040705,null
002013.SZ,中航机电,20040705,20230317
002014.SZ,永新股份,20040708,null
002015.SZ,协鑫能科,20040708,null
002016.SZ,世荣兆业,20040708,null
002017.SZ,东信和平,20040713,null
002018.SZ,华信退,20040713,20191101
002019.SZ,亿帆医药,20040713,null
002020.SZ,京新药业,20040715,null
002021.SZ,中捷资源,20040715,null
002022.SZ,科华生物,20040721,null
002023.SZ,海特高新,20040721,null
002024.SZ,ST易购,20040721,null
002025.SZ,航天电器,20040726,null
002026.SZ,山东威达,20040727,null
002027.SZ,分众传媒,20040804,null
002028.SZ,思源电气,20040805,null
002029.SZ,七匹狼,20040806,null
002030.SZ,达安基因,20040809,null
002031.SZ,巨轮智能,20040816,null
002032.SZ,苏泊尔,20040817,null
002033.SZ,丽江股份,20040825,null
002034.SZ,旺能环境,20040826,null
002035.SZ,华帝股份,20040901,null
002036.SZ,联创电子,20040903,null
002037.SZ,保利联合,20040908,null
002038.SZ,双鹭药业,20040909,null
002039.SZ,黔源电力,20050303,null
002040.SZ,南京港,20050325,null
002041.SZ,登海种业,20050418,null
002042.SZ,华孚时尚,20050427,null
002043.SZ,兔宝宝,20050510,null
002044.SZ,美年健康,20050518,null
002045.SZ,国光电器,20050523,null
002046.SZ,国机精工,20050526,null
002047.SZ,宝鹰股份,20050531,null
002048.SZ,宁波华翔,20050603,null
002049.SZ,紫光国微,20050606,null
002050.SZ,三花智控,20050607,null
002051.SZ,中工国际,20060619,null
002052.SZ,*ST同洲,20060627,null
002053.SZ,云南能投,20060627,null
002054.SZ,德美化工,20060725,null
002055.SZ,得润电子,20060725,null
002056.SZ,横店东磁,20060802,null
002057.SZ,中钢天源,20060802,null
002058.SZ,威尔泰,20060802,null
002059.SZ,云南旅游,20060810,null
002060.SZ,广东建工,20060810,null
002061.SZ,浙江交科,20060816,null
002062.SZ,宏润建设,20060816,null
002063.SZ,远光软件,20060823,null
002064.SZ,华峰化学,20060823,null
002065.SZ,东华软件,20060823,null
002066.SZ,瑞泰科技,20060823,null
002067.SZ,景兴纸业,20060915,null
002068.SZ,黑猫股份,20060915,null
002069.SZ,獐子岛,20060928,null
002070.SZ,众和退,20061012,20190709
002071.SZ,长城退,20061012,20210507
002072.SZ,凯瑞德,20061018,null
002073.SZ,软控股份,20061018,null
002074.SZ,国轩高科,20061018,null
002075.SZ,沙钢股份,20061025,null
002076.SZ,星光股份,20061025,null
002077.SZ,大港股份,20061116,null
002078.SZ,太阳纸业,20061116,null
002079.SZ,苏州固锝,20061116,null
002080.SZ,中材科技,20061120,null
002081.SZ,金螳螂,20061120,null
002082.SZ,万邦德,20061120,null
002083.SZ,孚日股份,20061124,null
002084.SZ,海鸥住工,20061124,null
002085.SZ,万丰奥威,20061128,null
002086.SZ,东方海洋,20061128,null
002087.SZ,新纺退,20061130,20240628
002088.SZ,鲁阳节能,20061130,null
002089.SZ,新海退,20061130,20240418
002090.SZ,金智科技,20061208,null
002091.SZ,江苏国泰,20061208,null
002092.SZ,ST中泰,20061208,null
002093.SZ,国脉科技,20061215,null
002094.SZ,青岛金王,20061215,null
002095.SZ,生意宝,20061215,null
002096.SZ,易普力,20061222,null
002097.SZ,山河智能,20061222,null
002098.SZ,浔兴股份,20061222,null
002099.SZ,海翔药业,20061226,null
002100.SZ,天康生物,20061226,null
002101.SZ,广东鸿图,20061229,null
002102.SZ,能特科技,20061229,null
002103.SZ,广博股份,20070110,null
002104.SZ,恒宝股份,20070110,null
002105.SZ,信隆健康,20070112,null
002106.SZ,莱宝高科,20070112,null
002107.SZ,沃华医药,20070124,null
002108.SZ,沧州明珠,20070124,null
002109.SZ,兴化股份,20070126,null
002110.SZ,三钢闽光,20070126,null
002111.SZ,威海广泰,20070126,null
002112.SZ,三变科技,20070208,null
002113.SZ,*ST天润,20070208,20230811
002114.SZ,罗平锌电,20070215,null
002115.SZ,三维通信,20070215,null
002116.SZ,中国海诚,20070215,null
002117.SZ,东港股份,20070302,null
002118.SZ,*ST紫鑫,20070302,20230804
002119.SZ,康强电子,20070302,null
002120.SZ,韵达股份,20070306,null
002121.SZ,科陆电子,20070306,null
002122.SZ,汇洲智能,20070328,null
002123.SZ,梦网科技,20070328,null
002124.SZ,ST天邦,20070403,null
